symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2020-09-09 00:00:00+00:00,117.32,119.14,115.26,117.26,176940455,114.5277197565,116.3044027599,112.5167488846,114.4691477894,176940455,0.0,1.0
AAPL,2020-09-10 00:00:00+00:00,113.49,120.5,112.5,120.36,182274391,110.7888758538,117.6320340152,109.8224383959,117.4953660918,182274391,0.0,1.0
AAPL,2020-09-11 00:00:00+00:00,112.0,115.23,110.0,114.57,180860325,109.3343386697,112.487462901,107.3819397649,111.8431712624,180860325,0.0,1.0
AAPL,2020-09-14 00:00:00+00:00,115.355,115.93,112.8,114.72,140150087,112.6094878325,113.1708025177,110.1152982316,111.9896011803,140150087,0.0,1.0
AAPL,2020-09-15 00:00:00+00:00,115.54,118.829,113.61,118.33,184642039,112.7900847312,116.0008047302,110.9060197881,115.5136812035,184642039,0.0,1.0
AAPL,2020-09-16 00:00:00+00:00,112.13,116.0,112.04,115.23,155026675,109.4612445985,113.2391364793,109.3733866478,112.487462901,155026675,0.0,1.0
AAPL,2020-09-17 00:00:00+00:00,110.34,112.2,108.71,109.72,178010968,107.7138475787,109.5295785602,106.1226424713,107.1086039182,178010968,0.0,1.0
AAPL,2020-09-18 00:00:00+00:00,106.84,110.88,106.09,110.4,287104882,104.2971494953,108.240995283,103.564999906,107.7724195459,287104882,0.0,1.0
AAPL,2020-09-21 00:00:00+00:00,110.08,110.19,103.1,104.54,195713815,107.4600357211,107.5674176609,100.6461635433,102.0518907547,195713815,0.0,1.0
AAPL,2020-09-22 00:00:00+00:00,111.81,112.86,109.16,112.68,183055373,109.1488607738,110.1738701988,106.5619322249,109.9981542973,183055373,0.0,1.0
AAPL,2020-09-23 00:00:00+00:00,107.12,112.11,106.77,111.62,150718671,104.570485342,109.4417206095,104.2288155336,108.9633828778,150718671,0.0,1.0
AAPL,2020-09-24 00:00:00+00:00,108.22,110.25,105.0,105.17,167743349,105.6443047396,107.625989628,102.5009425029,102.6668964098,167743349,0.0,1.0
AAPL,2020-09-25 00:00:00+00:00,112.28,112.44,107.67,108.43,149981441,109.6076745164,109.7638664288,105.1073950408,105.8493066246,149981441,0.0,1.0
AAPL,2020-09-28 00:00:00+00:00,114.96,115.32,112.78,115.01,137672403,112.2238890488,112.5753208517,110.0957742426,112.2726990215,137672403,0.0,1.0
AAPL,2020-09-29 00:00:00+00:00,114.09,115.31,113.57,114.55,100060526,111.3745955252,112.5655588572,110.86697181,111.8236472734,100060526,0.0,1.0
AAPL,2020-09-30 00:00:00+00:00,115.81,117.26,113.62,113.79,142675184,113.0536585834,114.4691477894,110.9157817826,111.0817356895,142675184,0.0,1.0
